IPO name,Offer date,SIC,Ticker,Unit,Offer price
Drugstore.com Inc,19990728,5999,DSCM,1,18
Digex Inc,19990729,4813,DIGX,1,17
N2H2 Inc,19990729,7375,NTWO,1,13
Netia Holdings SA,19990729,4813,NTIA,1,22
Perficient Inc,19990729,7371,PRFT,1,8
Accrue Software Inc,19990730,7372,ACRU,1,10
Net2Phone Inc,19990730,4813,NTOP,1,15
Watchguard Technologies Inc,19990730,7372,WGRD,1,13
1-800-Flowers.com Inc,19990802,5992,FLWS,1,21
SplitRock Services Inc,19990802,4813,SPLT,1,10
Internet Initiative Japan Co,19990803,7373,IIJI,1,23
Quotesmith.com Inc,19990803,7375,QUOT,1,11
Homestore.com Inc,19990804,6531,HOMS,1,20
Cobalt Group Inc,19990805,7375,CBLT,1,11
Interactive Pictures Corp,19990805,7372,IPIX,1,18
Internet Capital Group,19990805,7389,ICGE,1,12
Internet Gold-Golden Lines Ltd,19990805,7375,IGLD,1,12
Tumbleweed Communications Corp,19990805,7372,TMWD,1,12
US Interactive Inc,19990809,7379,USIT,1,10
Hotjobs Com LTD,19990810,7361,HOTJ,1,8
InterWorld Corp,19990811,7372,INTW,1,15
Mortgage.com Inc,19990811,6162,MDCM,1,8
Red Hat Inc,19990811,7375,RHAT,1,14
Active Software Inc,19990812,7372,ASWX,1,11
Quest Software Inc,19990813,7372,QSFT,1,14
SilverStream Software Inc,19990817,7372,SSSW,1,16
Agile Software Corp,19990819,7372,AGIL,1,21
HeadHunter.NET Inc,19990819,7361,HHNT,1,10
LookSmart Ltd,19990819,7373,LOOK,1,12
MyPoints.com Inc,19990819,7375,MYPT,1,8
Lionbridge Technologies,19990820,7372,LIOX,1,10
Bamboo.com Inc,19990825,7375,BAMB,1,7
ImageX com Inc,19990826,2752,IMGX,1,7
Purchasepro.com Inc,19990913,7372,PPRO,1,12
Garden.com Inc,19990915,7371,GDEN,1,12
Luminant  Worldwide Corp,19990916,7379,LUMT,1,18
Vitria Technology Inc,19990916,7372,VITR,1,16
E.piphany Inc,19990921,7372,EPNY,1,16
Kana Communications Inc,19990921,7372,KANA,1,15
Cybergold Inc,19990922,7311,CGLD,1,9
Yesmail.com Inc,19990922,7311,YESM,1,11
Alteon Websystems Inc,19990923,3679,ATON,1,19
Ashford.Com Inc,19990923,5945,ASFD,1,13
Bluestone Software Inc,19990923,7372,BLSW,1,15
NetZero Inc,19990923,7375,NZRO,1,16
Webstakes.com Inc,19990923,7311,IWIN,1,14
eGain Communications,19990923,7372,EGAN,1,12
Keynote Systems Inc,19990924,7389,KEYN,1,14
Foundry Networks Inc,19990927,3576,FDRY,1,25
FreeShop.com Inc,19990927,7375,FSHP,1,12
ITXC Corp,19990927,4813,ITXC,1,12
Medscape Inc,19990927,7375,MSCP,1,8
FTD.COM INC,19990928,5992,EFTD,1,8
NetSolve Inc,19990928,4813,NTSL,1,13
InterNAP Network Services,19990929,7375,INAP,1,20
