permno,permco,namedt,nameenddt,comnam,cusip,ticker,exchcd,begdat,begprc,date,prc
81110.0,13410.0,1994-11-04,2006-02-28,TRANSPORT CORP OF AMER INC,89385P10,TCAM,3.0,1994-11-04,1994-11-04,1994-11-04,11.375
81111.0,13418.0,1994-11-08,1997-11-21,THOMPSON P B E INC,88488810,THOM,3.0,1994-11-08,1994-11-08,1994-11-08,11.875
81112.0,6500.0,1983-10-14,1984-08-01,VITALMETRICS INC,05277410,VTLM,3.0,1983-10-14,1983-10-14,1983-10-14,16.75
81113.0,13419.0,1994-11-08,1995-10-22,TELE MATIC CORP,87259710,TMAT,3.0,1994-11-08,1994-11-08,1994-11-08,9.5
81114.0,13440.0,1994-11-22,1995-10-01,TELEWEST COMMUNICATIONS PLC,87956P20,TWSTY,3.0,1994-11-22,1994-11-22,1994-11-22,28.5
81115.0,13430.0,1994-11-16,1996-02-08,UNITECH INDUSTRIES INC,90924810,UTII,3.0,1994-11-16,1994-11-16,1994-11-16,8.125
81116.0,13447.0,1994-11-29,2018-12-31,VEECO INSTRUMENTS INC DEL,92241710,VECO,3.0,1994-11-29,1994-11-29,1994-11-29,10.9375
81117.0,13405.0,1994-11-01,1998-09-01,VOXEL,92893510,VOXL,3.0,1994-11-01,1994-11-01,1994-11-01,6.375
81118.0,13437.0,1994-11-18,1997-01-31,WHAT A WORLD INC,96243310,WHAT,3.0,1994-11-18,1994-11-18,1994-11-18,4.875
81119.0,13416.0,1994-11-08,2009-01-26,YOUNG BROADCASTING INC,98743410,YBTVA,3.0,1994-11-08,1994-11-08,1994-11-08,19.5
81120.0,29798.0,1994-12-06,2007-07-11,AUSTRALIA & NEW ZEALAND BK GR L,05252830,ANZ,1.0,1994-12-06,1994-12-06,1994-12-06,15.5
81121.0,30820.0,1994-12-08,2010-05-19,BRITISH SKY BROADCASTING GR PLC,11101310,BSY,1.0,1994-12-08,1994-12-08,1994-12-08,24.625
81122.0,30822.0,1994-12-07,1996-07-22,CHAMPION HEALTHCARE CORP,15850B10,CHC,2.0,1994-12-07,1994-12-07,1994-12-07,9.25
81123.0,30823.0,1994-12-16,2003-03-17,CROWN PACIFIC PARTNERS L P,22843910,CRO,1.0,1994-12-16,1994-12-16,1994-12-16,21.5
81124.0,1519.0,1994-12-22,2018-12-31,EMERSON RADIO CORP,29108720,MSN,2.0,1994-12-22,1994-12-22,1994-12-22,2.375
81125.0,30826.0,1994-12-05,2002-09-08,GRUPO ELEKTRA SA DE CV,40050A20,EKT,1.0,1994-12-05,1994-12-05,1994-12-05,21.25
81126.0,30827.0,1994-12-14,2006-04-21,GUIDANT CORP,40169810,GDT,1.0,1994-12-14,1994-12-14,1994-12-14,14.625
81127.0,30828.0,1994-12-20,2018-12-31,I R S A INVERSIONES Y REP S A,45004720,IRS,1.0,1994-12-20,1994-12-20,1994-12-20,27.5
81128.0,30829.0,1994-12-20,2016-09-06,I T T EDUCATIONAL SERVICES INC,45068B10,ESI,1.0,1994-12-20,1994-12-20,1994-12-20,10.0
81129.0,30830.0,1994-12-20,1995-07-19,INTEGRATED HEALTHCARE FACILS LP,45797410,IHF,1.0,1994-12-20,1994-12-20,1994-12-20,0.625
81131.0,30833.0,1994-12-16,1998-06-25,PRICELLULAR CORP,74150410,PC,2.0,1994-12-16,1994-12-16,1994-12-16,9.25
81132.0,30835.0,1994-12-08,1998-06-04,S G S THOMSON MICROELECTRONICS,86101210,STM,1.0,1994-12-08,1994-12-08,1994-12-08,22.25
81133.0,30836.0,1994-12-09,2004-04-21,TELECOM ARGENTINA STET FR TEL S,87927320,TEO,1.0,1994-12-09,1994-12-09,1994-12-09,52.375
81134.0,30838.0,1994-12-16,2018-12-31,CHINA YUCHAI INTERNATIONAL LTD,G2108210,CYD,1.0,1994-12-16,1994-12-16,1994-12-16,10.125
81135.0,13485.0,1994-12-23,2000-01-14,ASSOCIATED GROUP INC,04565110,AGRPA,3.0,1994-12-23,1994-12-23,1994-12-23,22.5
81136.0,13485.0,1994-12-23,2000-01-14,ASSOCIATED GROUP INC,04565120,AGRPB,3.0,1994-12-23,1994-12-23,1994-12-23,22.5
