comnam,ticker,filingYr
PEGASUS SOLUTIONS INC,PEGS,1997
PROGENITOR INC,PGEN,1997
QAD INC,QADI,1997
CARRIZO OIL & GAS INC,CRZO,1997
EAGLE GEOPHYSICAL INC,EGEO,1997
FINE AIR SERVICES INC,BIGF,1997
HALL KINION & ASSOCIATES INC,HAKI,1997
OCULAR SCIENCES INC /DE/,OCLR,1997
CONCENTRIC NETWORK CORP,CNCX,1997
CONTINENTAL NATURAL GAS INC,CNGL,1997
BEST SOFTWARE INC,BEST,1997
CRESCENDO PHARMACEUTICALS CORP,CNDO,1997
HEARTLAND BANCSHARES INC /IN/,HRTB,1997
BRYN RESOURCES INC,RNETU,1997
NEXTLINK COMMUNICATIONS INC /DE/,NXLK,1997
OHIO STATE FINANCIAL SERVICES INC,OSFS,1997
PRIME BANCSHARES INC /TX/,PBTX,1997
NETWORK SOLUTIONS INC /DE/,NSOL,1997
"WALKING CO HOLDINGS, INC.",BDOG,1997
PERVASIVE SOFTWARE INC,PVSW,1997
STAR BUFFET INC,STRZ,1997
BRIDGESTREET ACCOMMODATIONS INC,BEDS,1997
ASIA ELECTRONICS HOLDING CO INC,AEHCF,1997
RENAISSANCE LEARNING INC,ALSI,1997
AVIS GROUP HOLDINGS INC,AVI,1997
AMEN PROPERTIES INC,amen,1997
BORON LEPORE & ASSOCIATES INC,BLPG,1997
EDUTREK INT INC,EDUT,1997
EDWARDS J D & CO,JDEC,1997
INDUSTRIAL DISTRIBUTION GROUP INC,IDG,1997
"AMMO, INC.",rtro,1997
ISONICS CORP,ISON,1997
FIRST INTERNATIONAL BANCORP INC,FNCE,1997
INTERNATIONAL TOTAL SERVICES INC,ITSW,1997
IL FORNAIO AMERICA CORP,ILFO,1997
"CHILDRENS PLACE, INC.",PLCE,1997
UNIFAB INTERNATIONAL INC,UFAB,1997
PROBUSINESS SERVICES INC,PRBZ,1997
SQUARE CHAIN CORP.,PRAN,1997
SECURITY CAPITAL GROUP INC/,SCZ.B,1997
CITIZENS BANCORP,CIBC,1997
FARO TECHNOLOGIES INC,FARO,1997
PC UNIVERSE INC,COYT,1997
DOT HILL SYSTEMS CORP,BXH,1997
"URIGEN PHARMACEUTICALS, INC.",MEGA,1997
NEWCOM INC,NWCM,1997
SPECTRUMEDIX CORP,SMDXU,1997
CASTLE DENTAL CENTERS INC,CASL,1997
SIGNATURE EYEWEAR INC,SEYE,1997
SIGA TECHNOLOGIES INC,SGPH,1997
TRIPATH IMAGING INC,ACYT,1997
COMPASS PLASTICS & TECHNOLOGIES INC,CPTI,1997
AVTEAM INC,AVTM,1997
CAPITAL SENIOR LIVING CORP,CSU,1997
FIRST SECURITYFED FINANCIAL CORP,FSFF,1997
PERICOM SEMICONDUCTOR CORP,PSEM,1997
TRANSCOASTAL MARINE SERVICES INC,TCMS,1997
UBICS INC,UBIX,1997
GROUP 1 AUTOMOTIVE INC,GPI,1997
FAROUDJA INC,FDJA,1997
CASELLA WASTE SYSTEMS INC,CWST,1997
BERINGER WINE ESTATES HOLDINGS INC,BERW,1997
"HEDGEPATH PHARMACEUTICALS, INC.",CBTE,1997
ABOVENET INC,MFNX,1997
MMC NETWORKS INC,MMCN,1997
ZYMETX INC,ZMTX,1997
TROPICAL SPORTSWEAR INTERNATIONAL CORP,TSIC,1997
PRIORITY HEALTHCARE CORP,PHCC,1997
PAULA FINANCIAL,PFCO,1997
OUTSOURCE INTERNATIONAL INC,OSIX,1997
EAGLE BROADBAND INC,EGLW,1997
MERCANTILE BANK CORP,MBWM,1997
ITC DELTACOM INC,ITCD,1997
INNOVATIVE VALVE TECHNOLOGIES INC,IVTC,1997
DRIL-QUIP INC,DRQ,1997
"CARDINAL COMMUNICATIONS, INC",MEME,1997
INTERNATIONAL MANUFACTURING SERVICES INC,IMSX,1997
MEDIABAY INC,KLB,1997
OAO TECHNOLOGY SOLUTIONS INC,OAOT,1997
AMERIPATH INC,PATH,1997
WHITE CAP INDUSTRIES INC,WHCP,1997
TOYMAX INTERNATIONAL INC,TMAX,1997
SUCCESS BANCSHARES INC,SXNB,1997
PETROGLYPH ENERGY INC,PGEI,1997
ROCK OF AGES CORP,ROAC,1997
