DATE,NASDAQCOM
2/4/00,4244.14
2/7/00,4321.77
2/8/00,4427.5
2/9/00,4363.24
2/10/00,4485.63
2/11/00,4395.45
2/14/00,4418.55
2/15/00,4420.77
2/16/00,4427.65
2/17/00,4548.92
2/18/00,4411.74
2/21/00,.
2/22/00,4382.12
2/23/00,4550.33
2/24/00,4617.65
2/25/00,4590.5
2/28/00,4577.85
2/29/00,4696.69
3/1/00,4784.08
3/2/00,4754.51
3/3/00,4914.79
3/6/00,4904.85
3/7/00,4847.84
3/8/00,4897.26
3/9/00,5046.86
3/10/00,5048.62
3/13/00,4907.24
3/14/00,4706.63
3/15/00,4582.62
3/16/00,4717.39
3/17/00,4798.13
3/20/00,4610
3/21/00,4711.68
3/22/00,4864.75
3/23/00,4940.61
3/24/00,4963.03
3/27/00,4958.56
3/28/00,4833.89
3/29/00,4644.67
3/30/00,4457.89
3/31/00,4572.83
4/3/00,4223.68
4/4/00,4148.89
4/5/00,4169.22
4/6/00,4267.56
4/7/00,4446.45
4/10/00,4188.2
4/11/00,4055.9
4/12/00,3769.63
4/13/00,3676.78
4/14/00,3321.29
4/17/00,3539.16
4/18/00,3793.57
4/19/00,3706.41
4/20/00,3643.88
4/21/00,.
4/24/00,3482.48
4/25/00,3711.23
4/26/00,3630.09
4/27/00,3774.03
4/28/00,3860.66
5/1/00,3958.08
5/2/00,3785.45
5/3/00,3707.31
5/4/00,3720.24
5/5/00,3816.82
5/8/00,3669.38
5/9/00,3585.01
5/10/00,3384.73
5/11/00,3499.58
5/12/00,3529.06
5/15/00,3607.65
5/16/00,3717.57
5/17/00,3644.96
5/18/00,3538.71
5/19/00,3390.4
5/22/00,3364.21
5/23/00,3164.55
5/24/00,3270.61
5/25/00,3205.35
5/26/00,3205.11
5/29/00,.
5/30/00,3459.48
5/31/00,3400.91
6/1/00,3582.5
6/2/00,3813.38
6/5/00,3821.76
6/6/00,3756.37
6/7/00,3839.26
6/8/00,3825.56
6/9/00,3874.84
6/12/00,3767.91
6/13/00,3851.06
6/14/00,3797.41
6/15/00,3845.74
6/16/00,3860.56
6/19/00,3989.83
6/20/00,4013.36
6/21/00,4064.01
6/22/00,3936.84
6/23/00,3845.34
6/26/00,3912.12
6/27/00,3858.96
6/28/00,3940.34
6/29/00,3877.23
6/30/00,3966.11
7/3/00,3991.93
7/4/00,.
7/5/00,3863.1
7/6/00,3960.57
7/7/00,4023.2
7/10/00,3980.29
7/11/00,3956.42
7/12/00,4099.59
7/13/00,4174.86
7/14/00,4246.18
7/17/00,4274.67
7/18/00,4177.17
7/19/00,4055.63
7/20/00,4184.56
7/21/00,4094.45
7/24/00,3981.57
7/25/00,4029.57
7/26/00,3987.72
7/27/00,3842.23
7/28/00,3663
7/31/00,3766.99
8/1/00,3685.52
8/2/00,3658.46
8/3/00,3759.88
8/4/00,3787.36
8/7/00,3862.99
8/8/00,3848.55
8/9/00,3853.5
8/10/00,3759.99
8/11/00,3789.47
8/14/00,3849.69
8/15/00,3851.66
8/16/00,3861.2
8/17/00,3940.87
8/18/00,3930.34
8/21/00,3953.15
8/22/00,3958.21
8/23/00,4011.01
8/24/00,4053.28
8/25/00,4042.68
8/28/00,4070.59
8/29/00,4082.17
8/30/00,4103.81
8/31/00,4206.35
9/1/00,4234.33
9/4/00,.
9/5/00,4143.18
9/6/00,4013.34
9/7/00,4098.35
9/8/00,3978.41
9/11/00,3896.35
9/12/00,3849.51
9/13/00,3893.89
9/14/00,3913.86
9/15/00,3835.23
9/18/00,3726.52
