 Filing Date,Issue Date,Issuer,Main SIC Code,Nation,Ticker Symbol,Bookrunner(s),Gross spread ($),Gross Spread as % of Prncpl Amt - in this Mkt,Proceeds Amt - in this Mkt ($ mil),Offer Price,Type of Security,IPO Flag (Y/N),9-Digit Cusip,Primary Exchange Where Issuer's Stock Trades,All Managers,Management Fee as % of Prncpl Amt - in this Mkt,Underwriting Fee as % of Prncpl Amt - in this Mkt,Selling Concession as % of Prncpl Amt - in this Mkt,Marketplace,Original High Filing Price,Original Low Filing Price,Shares Filed - in this Mkt,Amt Filed - in this Mkt ($ mil),Primary Shares Offered - in this Mkt,Secondary Shs Ofrd- in this Mkt,Lock up Expiration Date,Percent of Shares Outstanding Subject to Lockup Agreement,Lockup Days,Lockup Shares,Depositary,Units,Venture Backed,Spin-off Parent Ticker,Spinoff's Parent,Number of Bookrunners,RANK_NO_LEADS,"Number of Lead, Co-lead, & Co-managers",Stock Price at Close of Offer/1st Trade,Opening Stock Price at First Trade,All Managers.1,Lead Manager,Managers,Managers.1,permno,cusip,comnam,ticker,begprc,prc,Match Name,Match Date,diff date,mid,PA %
/ED-JONES/JANNEY/ING-FURMAN/FAHNESTOCK
/WP-SEC/WARBURG-DR/BOSTON-ROBERTS
/CIBC-OPPEN/DOLEY-SEC/A-G-EDWARDS/DLJ
/BLAYLOCK-PTRNS/ARNHOLD//MSDW(GC)",MSDW,"MSDW
GS
ML
BT-ALEX-BROWN
NATION-MONT-SEC
BEAR
CS-FB","Morgan Stanley Dean Witter & Co
Goldman Sachs & Co
Merrill Lynch Pierce Fenner & Smith
BT Alex Brown Inc
NationsBanc Montgomery Securities Inc
Bear Stearns & Co Inc
CS First Boston Corp",86590,24522P10,DEL MONTE FOODS CO,DLM,2/5/99,15.625,DEL MONTE FOODS CO,2/5/99,0,0,#DIV/0!

3/20/98,5/11/98,Sauer Inc,3594,United States,SHS,CS-FB,0.9,5,76.5,18,Common Shares,Yes,804137107,New York,"CS First Boston Corp
Salomon Smith Barney
Deutsche Morgan Grenfell
CIBC Oppenheimer
Donaldson Lufkin & Jenrette
AG Edwards & Sons Inc
HSBC Holdings PLC
Invemed Associates Inc
McDonald Investments
Charles Schwab & Co Inc
CS First Boston Corp",1,1,3,U.S. Public,,,,,1416667,2833333,11/7/98 0:00,,180,,No,No,No,,,1,1,3,18.25,,"CS-FB//SALOMON-SMITH/DEUTSCHE-MORGAN
//CIBC-OPPEN/DLJ/A-G-EDWARDS/HSBC
/INVEMED/MCDONALD/CHARLES-SCHWAB
//CS-FB(GC)",CS-FB,"CS-FB
SALOMON-SMITH
DEUTSCHE-MORGAN","CS First Boston Corp
Salomon Smith Barney
Deutsche Morgan Grenfell",86034,80413710,SAUER INC,SHS,5/12/98,18.25,SAUER DANFOSS INC,5/13/98,1,0,#DIV/0!

3/20/98,5/13/98,Federated Investors Inc,6282,United States,FII,MERRILL,1.09,5.737,266.9,19,Non-Vtg Class B,Yes,314211103,New York,"Merrill Lynch
PaineWebber
Salomon Smith Barney
CIBC Oppenheimer
AG Edwards & Sons Inc
Fahnestock & Co
Friedman Billings Ramsey Group
Janney Montgomery Scott Inc
Edward D Jones & Co
Legg Mason Wood Walker
Lehman Brothers
NationsBanc Montgomery Sec
Parker-Hunter Inc
Piper Jaffray Inc
Prudential Securities Inc
Scott & Stringfellow Financial
Stephens Inc
Sanford C Bernstein & Co Inc
DA Davidson & Co Inc
Gruntal & Co Inc
McDonald Investments
Morgan Keegan Inc
Raymond James & Associates Inc
Roney & Co
TD Securities Inc
Wheat First Securities Inc
Arthurs Lestrange
BHC Securities Inc
George K Baum & Co
Craigie
GS2 Securities Inc.
Hefren-Tillotson, Inc.
Kirkpatrick, Pettis, Smith, Po
Putnam, Lovell , de Guardiola
Sterne Agee & Leach Inc
Merrill Lynch",Comb.,Comb.,,U.S. Public,,,,250,2087999,11957781,,,,,No,No,No,,,1,1,3,28.25,,"MERRILL//PAINE-W/SALOMON-SMITH
//CIBC-OPPEN/A-G-EDWARDS/FAHNESTOCK
/FRIEDMAN-B/JANNEY/ED-JONES
/LEGG-MASON-WW/LEH/NATION-MONT-SEC
/PARKER-HUNTER/PIPER-J/PSI/SCOTT-STRING
/STEPHENS/BERNSTEIN/DAVIDSON/GRUNTAL
/MCDONALD/MORGAN-KEEGAN/RAYMOND
/RONEY-CO/TD-SECURITIES/WHEAT
/ARTHURS-LES/BHC-SECURITIES/G-BAUM
/CRAIGIE/GS2-SEC/HEFREN/KIRKPATRICK
/PUTNAM-LOVELL/STERNE-AGEE//MERRILL(GC)",MERRILL,"MERRILL
PAINE-W
SALOMON-SMITH","Merrill Lynch & Co Inc
PaineWebber Inc
Salomon Smith Barney",86102,31421110,FEDERATED INVESTORS INC PA,FII,5/14/98,19.8125,FEDERATED INVESTORS INC /PA/,5/15/98,1,0,#DIV/0!

3/20/98,5/20/98,Carreker-Antinori Inc,7374,United States,CANI,BA-SEC-ROBERTS,0.77,7,56.1,11,Common Shares,Yes,144433109,Nasdaq,"BancAmerica Robertson Stephens
Hambrecht & Quist
Lehman Brothers
Cowen
Needham & Co LLC
Raymond James & Associates Inc
Sands Brothers & Co Ltd
Southwest Securities Group Inc
HC Wainwright & Co Inc",1.545,1.455,4,U.S. Public,12,10,5100000,56.1,3650000,1450000,11/16/98 0:00,,180,11315883,No,No,No,,,1,1,3,77.88,,"BA-SEC-ROBERTS//HAMBRECHT/LEH//COWEN
/NEEDHAM/RAYMOND/SANDS/SOUTHWEST-SEC
/H-C-WAINWRIGHT",BA-SEC-ROBERTS,"BA-SEC-ROBERTS
HAMBRECHT
LEH","BancAmerica Robertson Stephens Inc
Hambrecht & Quist Inc
Lehman Brothers",86055,14443310,CARREKER ANTINORI INC,CANI,5/20/98,11.5625,CARREKER CORP,5/20/98,0,11,0

3/23/98,6/19/98,Interplay Entertainment Corp,7372,United States,IPLY,PIPER-J,0.385,7,27.5,5.5,Common Shares,Yes,460615107,Nasdaq,"Piper Jaffray Inc
Bear Stearns & Co Inc
UBS Securities Inc
BancAmerica Robertson Stephens
BT Alex Brown Inc
Cowen
Deutsche Morgan Grenfell
Hambrecht & Quist
NationsBanc Montgomery Sec
JC Bradford & Co
Crowell Weedon & Co
Wedbush Securities",1.455,1.909,3.63636,U.S. Public,10,8,6250000,56.3,5000000,,12/16/98 0:00,,180,7781868,No,No,No,,,1,1,3,6,,"PIPER-J//BEAR/UBS-SEC//BA-SEC-ROBERTS
/BT-ALEX-BROWN/COWEN/DEUTSCHE-MORGAN
/HAMBRECHT/NATION-MONT-SEC/BRADFORD
/CROWELL/WEDBUSH-M",PIPER-J,"PIPER-J
BEAR
UBS-SEC","Piper Jaffray Inc
Bear Stearns & Co Inc
UBS Securities Inc",86174,46061510,INTERPLAY ENTERTAINMENT CORP,IPLY,6/19/98,6,INTERPLAY ENTERTAINMENT CORP,6/22/98,3,9,-0.388888889

3/24/98,5/28/98,American Aircarriers Support,5088,United States,AIRS,CRUTTENDEN-ROTH,0.42,7,12,6,Common Shares,Yes,23758105,Nasdaq,"Cruttenden Roth Inc
Laidlaw Global Securities
JC Bradford & Co
SunTrust Equitable Securities
Fahnestock & Co
Interstate/Johnson Lane Inc
Janney Montgomery Scott Inc
Morgan Keegan Inc
Pennsylvania Merchant Group
Scott & Stringfellow Financial",1.5,1.333,4.16667,U.S. Public,8.5,7.5,2000000,16,2000000,,5/28/99 0:00,64.567,365,4100000,No,No,No,,,1,1,2,6.25,,"CRUTTENDEN-ROTH//LAIDLAW-GLOBAL
//BRADFORD/SUNTRUST-EQUI/FAHNESTOCK
/INTER-JL/JANNEY/MORGAN-KEEGAN
/PENN-MER-GROUP/SCOTT-STRING",CRUTTENDEN-ROTH,"CRUTTENDEN-ROTH
LAIDLAW-GLOBAL","Cruttenden Roth Inc
Laidlaw Global Securities, Inc.",86045,2375810,AMERICAN AIRCARRIERS SUPPORT IN,AIRS,5/28/98,6.25,AMERICAN AIRCARRIERS SUPPORT INC,6/2/98,5,8,-0.25

3/26/98,5/22/98,Atlantic Data Services Inc,7379,United States,ADSC,BA-SEC-ROBERTS,0.91,7,32.5,13,Common Shares,Yes,48523104,Nasdaq,"BancAmerica Robertson Stephens
BT Alex Brown Inc
Adams Harkness & Hill Inc
First Albany
Hanifen Imhoff Inc
Tucker Anthony Inc
HC Wainwright & Co Inc",1.462,1.538,4,U.S. Public,15,13,2500000,35,2000000,500000,11/18/98 0:00,,180,,No,No,No,,,1,1,3,12.75,,"BA-SEC-ROBERTS//BT-ALEX-BROWN
/ADAMS-HARKNESS//FIRST-ALBANY
/HANIFEN-IMHOFF/TUCKER/H-C-WAINWRIGHT",BA-SEC-ROBERTS,"BA-SEC-ROBERTS
BT-ALEX-BROWN
ADAMS-HARKNESS","BancAmerica Robertson Stephens Inc
BT Alex Brown Inc
Adams Harkness & Hill Inc",86043,4852310,ATLANTIC DATA SERVICES INC,ADSC,5/22/98,12.75,ATLANTIC DATA SERVICES INC,5/22/98,0,14,-0.071428571

3/27/98,5/26/98,Capstar Broadcasting Corp,4832,United States,CRB,CS-FB,1.069,5.626,471.2,19,Class A Shares,Yes,14067G105,New York,"CS First Boston Corp
BT Alex Brown Inc
Morgan Stanley Dean Witter
Bear Stearns & Co Inc
NationsBanc Montgomery Sec
Salomon Smith Barney
Goldman Sachs & Co
CS First Boston Corp",1.126,1.132,3.36842,U.S. Public,,,,632.5,24800000,,,,,,No,No,No,,,1,3,7,19.13,,"CS-FB/BT-ALEX-BROWN/MSDW(JOINT)//BEAR
/NATION-MONT-SEC/SALOMON-SMITH/GS
//CS-FB(GC)",CS-FB/BT-ALEX-BROWN/MSDW,"CS-FB
/BT-ALEX-BROWN
/MSDW(JOINT)
BEAR
NATION-MONT-SEC
SALOMON-SMITH
GS","CS First Boston Corp
BT Alex Brown Inc
Morgan Stanley Dean Witter & Co
Bear Stearns & Co Inc
NationsBanc Montgomery Securities Inc
Salomon Smith Barney
Goldman Sachs & Co",86010,14067G10,CAPSTAR BROADCASTING CORP,CRB,5/27/98,19,CAPSTAR BROADCASTING CORP,5/27/98,0,0,#DIV/0!

3/27/98,6/5/98,Rainbow Rentals,7359,United States,RBOW,ROBINSON,0.7,7,22.5,10,Common Shares,Yes,750857104,Nasdaq,"Robinson-Humphrey Co
Dain Rauscher Corp
SunTrust Equitable Securities
Advest Inc
George K Baum & Co
JC Bradford & Co
First Albany
First of Michigan Corp
JJB Hilliard WL Lyons Inc
Interstate/Johnson Lane Inc
Janney Montgomery Scott Inc
CL King & Associates Inc
McDonald Investments
Morgan Keegan Inc
David A. Noyes
Ohio Co
S. C. Parker
Pennsylvania Merchant Group
Stephens Inc
Tucker Anthony Inc
Wheat First Securities Inc
Wit Capital Group Inc",1.5,1.5,4,U.S. Public,12,10,2250000,24.8,2250000,,12/2/98 0:00,,180,,No,No,No,,,1,1,3,10.06,,"ROBINSON//DAIN-RAUSCHER/SUNTRUST-EQUI
//ADVEST/G-BAUM/BRADFORD/FIRST-ALBANY
/FIRST-MICHIGAN/HILLIARD/INTER-JL
/JANNEY/CL-KING/MCDONALD/MORGAN-KEEGAN
/D-A-NOYES/OHIO/PARKER/PENN-MER-GROUP
/STEPHENS/TUCKER/WHEAT/WIT-CAPITAL",ROBINSON,"ROBINSON
DAIN-RAUSCHER
SUNTRUST-EQUI","Robinson-Humphrey Co
Dain Rauscher Corp
SunTrust Equitable Securities",86185,75085710,RAINBOW RENTALS INC,RBOW,6/5/98,10.0625,RAINBOW RENTALS INC,6/5/98,0,11,-0.090909091

3/30/98,1/27/00,NATCO Group Inc,3533,United States,NTG,DLJ,0.7,7,75,10,Class A Shares,Yes,63227W203,New York,"Donaldson Lufkin & Jenrette
Salomon Smith Barney
DLJdirect
Simmons & Co International
Dain Rauscher Wessels
Raymond James & Associates Inc",1.4,1.4,4.2,U.S. Public,,,,82.2,4053807,3446193,7/25/00 0:00,45.124,180,6167163,No,No,No,,,1,1,4,10.94,,"DLJ//SALOMON-SMITH/DLJ-DIRECT/SIMMONS
//DAIN-R-WESSELS/RAYMOND",DLJ,"DLJ
SALOMON-SMITH
DLJ-DIRECT
SIMMONS","Donaldson Lufkin & Jenrette Inc
Salomon Smith Barney
DLJdirect
Simmons & Co International",87539,63227W20,NATCO GROUP INC,NTG,1/28/00,10.9375,NATCO GROUP INC,2/1/00,4,0,#DIV/0!

3/31/98,6/12/98,Asymetrix Learning Systems Inc,7373,United States,ASYM,NATION-MONT-SEC,0.77,7,33,11,Common Shares,Yes,45927100,Nasdaq,"NationsBanc Montgomery Sec
BancAmerica Robertson Stephens
Hambrecht & Quist
Donaldson Lufkin & Jenrette
BT Alex Brown Inc
Lehman Brothers
Morgan Stanley Dean Witter
Salomon Smith Barney
Cruttenden & Co. Inc.
John G Kinnard & Co
Piper Jaffray Inc
Seidler Corp
CE Unterberg Towbin
HC Wainwright & Co Inc",1.409,1.545,4.04545,U.S. Public,,,,40,3000000,,12/9/98 0:00,,180,,No,No,Yes,,,1,1,3,11,,"NATION-MONT-SEC//BA-SEC-ROBERTS
/HAMBRECHT//DLJ/BT-ALEX-BROWN/LEH/MSDW
/SALOMON-SMITH/CRUTTENDEN/KINNARD
/PIPER-J/SEIDLER-COS/UNTERBERG
/H-C-WAINWRIGHT",NATION-MONT-SEC,"NATION-MONT-SEC
BA-SEC-ROBERTS
HAMBRECHT","NationsBanc Montgomery Securities Inc
BancAmerica Robertson Stephens Inc
Hambrecht & Quist Inc",86207,18681S10,ASYMETRIX LEARNING SYSTEMS INC,ASYM,6/12/98,11,CLICK2LEARN INC/DE/,6/12/98,0,0,#DIV/0!

4/1/98,5/11/98,MGC Communications Inc,4813,United States,MGCX,BEAR,1.19,7,59.5,17,Common Shares,Yes,552763302,Nasdaq,"Bear Stearns & Co Inc
Furman Selz LLC
BancAmerica Robertson Stephens
Credit Lyonnais Securities USA
Deutsche Morgan Grenfell
Goldman Sachs & Co
Lehman Brothers
Morgan Stanley Dean Witter
Prudential Securities Inc
SBC Warburg Dillon Read Inc
Salomon Smith Barney
Access Securities
George K Baum & Co
Commonwealth Associates
Gerard Klauer Mattison & Co
Goldis Financial Group, Inc.
Jefferies & Co Inc
Ragen MacKenzie Group Inc
Raymond James & Associates Inc
Robinson-Humphrey Co
Wheat First Securities Inc",1.412,1.353,4.23529,U.S. Public,,,,69,3500000,,11/7/98 0:00,,180,,No,No,Yes,,,1,1,2,17,,"BEAR//FURMAN-SELZ-INC//BA-SEC-ROBERTS
/CL-SEC-USA/DEUTSCHE-MORGAN/GS/LEH/MSDW
/PSI/SBC-WARBURG-DR/SALOMON-SMITH
/ACCESS-SEC/G-BAUM/COMMONWEALTH-AS
/GERARD-KLAUER/GOLDIS/JEFFERIES/RAGEN
/RAYMOND/ROBINSON/WHEAT",BEAR,"BEAR
FURMAN-SELZ-INC","Bear Stearns & Co Inc
Furman Selz LLC",86077,62473L10,M G C COMMUNICATIONS INC,MGCX,5/12/98,17,MPOWER COMMUNICATIONS CORP,5/12/98,0,0,#DIV/0!

4/2/98,7/14/98,National Equipment Services,7359,United States,NSV,SALOMON-SMITH,0.945,7,89.8,13.5,Common Shares,Yes,635847106,New York,"Salomon Smith Barney
William Blair & Co
Donaldson Lufkin & Jenrette
NationsBanc Montgomery Sec
CS First Boston Corp
ABN AMRO Incorporated
George K Baum & Co
Morgan Stanley Dean Witter
Wheat First Securities Inc
McDonald Investments
Legg Mason Wood Walker
CL King & Associates Inc
Janney Montgomery Scott Inc
BT Alex Brown Inc
Goldman Sachs & Co
Lehman Brothers
Merrill Lynch
CIBC Oppenheimer
BancAmerica Robertson Stephens
Salomon Smith Barney",1.519,1.407,4.07407,U.S. Public,19,16,13760000,240.8,6650000,,,,,,No,No,No,,,1,1,5,15,,"SALOMON-SMITH//WM-BLAIR/DLJ
/NATION-MONT-SEC/CS-FB//ABN-AMRO-INC
/G-BAUM/MSDW/WHEAT/MCDONALD
/LEGG-MASON-WW/CL-KING/JANNEY
/BT-ALEX-BROWN/GS/LEH/MERRILL
/CIBC-OPPEN/BA-SEC-ROBERTS
//SALOMON-SMITH(GC)",SALOMON-SMITH,"SALOMON-SMITH
WM-BLAIR
DLJ
NATION-MONT-SEC
CS-FB","Salomon Smith Barney
William Blair & Co
Donaldson Lufkin & Jenrette Inc
NationsBanc Montgomery Securities Inc
CS First Boston Corp",86227,63584710,NATIONAL EQUIPMENT SERVICES INC,NSV,7/14/98,15,NATIONAL EQUIPMENT SERVICES INC,7/14/98,0,17.5,-0.228571429

4/3/98,6/4/98,Cleveland Indians Baseball Co,7941,United States,CLEV,MCDONALD,1.05,7,60,15,Class A Shares,Yes,186202107,Nasdaq,"McDonald Investments
ABN AMRO Securities
Allen & Co Inc
BancAmerica Robertson Stephens
Bear Stearns & Co Inc
BT Alex Brown Inc
CIBC Oppenheimer
Cowen
Credit Lyonnais SA
Donaldson Lufkin & Jenrette
AG Edwards & Sons Inc
Furman Selz LLC
Goldman Sachs & Co
Hambrecht & Quist
Lazard Freres & Co LLC
Lehman Brothers
Morgan Stanley
NationsBanc Montgomery Sec
PaineWebber
Prudential Securities Inc
Salomon Smith Barney
SBC Warburg Dillon Read Inc
Advest Inc
Robert W Baird & Co Inc
George K Baum & Co
William Blair & Co
JC Bradford & Co
Butler, Wick & Co.
Cleary Gull Reiland & McDevitt
Crowell Weedon & Co
Dain Rauscher Corp
EVEREN Securities Inc
Fahnestock & Co
First Albany
Gaines, Berland
Gerard Klauer Mattison & Co
Hanifen Imhoff Inc
Interstate/Johnson Lane Inc
Janney Montgomery Scott Inc
Jefferies & Co Inc
JJB Hilliard WL Lyons Inc
Edward D Jones & Co
Ladenburg Thalmann & Co
Legg Mason Wood Walker
Morgan Keegan Inc
NatCity Investments Corp
Ohio Co
Parker-Hunter Inc
Pennsylvania Merchant Group
Piper Jaffray Inc
Ragen MacKenzie Group Inc
Raymond James & Associates Inc
Robinson-Humphrey Co
Roney & Co
Seidler Corp
Stephens Inc
Stifel Nicolaus & Co Inc
SunTrust Equitable Securities
Sutro & Co Inc
Tucker Anthony Inc
Wheat First Securities Inc
Wit Capital Group Inc
Credit Suisse First Boston",1.333,1.667,4,U.S. Public,16,14,4000000,60,4000000,,3/1/99 0:00,,270,,No,No,No,,,1,1,1,14.75,,"MCDONALD//ABN-AMRO-SEC/ALLEN
/BA-SEC-ROBERTS/BEAR/BT-ALEX-BROWN
/CIBC-OPPEN/COWEN/CRED-LYONNAIS/DLJ
/A-G-EDWARDS/FURMAN-SELZ-INC/GS
/HAMBRECHT/LAZ/LEH/MORGAN-STANLEY
/NATION-MONT-SEC/PAINE-W/PSI
/SALOMON-SMITH/SBC-WARBURG-DR/ADVEST
/BAIRD/G-BAUM/WM-BLAIR/BRADFORD
/BUTLER-WICK/CLEARY-GULL-R-M/CROWELL
/DAIN-RAUSCHER/EVEREN-SEC/FAHNESTOCK
/FIRST-ALBANY/GAINES-BERLAND
/GERARD-KLAUER/HANIFEN-IMHOFF/INTER-JL
/JANNEY/JEFFERIES/HILLIARD/ED-JONES
/LADENBURG/LEGG-MASON-WW/MORGAN-KEEGAN
/NATL-CITY-INV/OHIO/PARKER-HUNTER
/PENN-MER-GROUP/PIPER-J/RAGEN/RAYMOND
/ROBINSON/RONEY-CO/SEIDLER-COS/STEPHENS
/STIFEL/SUNTRUST-EQUI/SUTRO/TUCKER
/WHEAT/WIT-CAPITAL/CS-FB-CS",MCDONALD,MCDONALD,McDonald Investments Inc,86153,18620210,CLEVELAND INDIANS BASEBALL CO,CLEV,6/4/98,14.75,CLEVELAND INDIANS BASEBALL CO INC,6/4/98,0,15,0

4/3/98,7/2/98,Abgenix Inc,8731,United States,ABGX,BA-SEC-ROBERTS,0.56,7,20,8,Common Shares,Yes,00339B107,Nasdaq,"BancAmerica Robertson Stephens
Lehman Brothers
CIBC Oppenheimer
Hambrecht & Quist
Adams Harkness & Hill Inc
Gruntal & Co Inc
Pacific Growth Equities Inc
Van Kasper & Co",1.25,1.75,4,U.S. Public,12,10,3000000,33,2500000,,12/29/98 0:00,,180,,No,No,Yes,,,1,1,2,8.13,,"BA-SEC-ROBERTS//LEH//CIBC-OPPEN
/HAMBRECHT/ADAMS-HARKNESS/GRUNTAL
/PACIFIC-GROWTH/VAN-KASPER",BA-SEC-ROBERTS,"BA-SEC-ROBERTS
LEH","BancAmerica Robertson Stephens Inc
Lehman Brothers",86235,00339B10,ABGENIX INC,ABGX,7/2/98,8.125,ABGENIX INC,7/2/98,0,11,-0.272727273

4/3/98,5/11/99,Time Warner Telecom Inc,4813,United States,TWTC,MSDW/LEH(JB),0.91,6.5,201.6,14,Class A Shares,Yes,887319101,Nasdaq,"Morgan Stanley Dean Witter
Lehman Brothers
Bear Stearns & Co Inc
ABN AMRO Incorporated
JC Bradford & Co
CIBC Oppenheimer
Dresdner Kleinwort Benson
AG Edwards & Sons Inc
Gabelli & Co Inc
ING Baring Furman Selz LLC
Jefferies & Co Inc
Edward D Jones & Co
NationsBanc Montgomery Sec
Neuberger Berman Inc
Scott & Stringfellow Financial
SG Cowen Securities Corp
Utendahl Capital Partners
Morgan Stanley Dean Witter
Lehman Brothers",1.286,1.071,4.14286,U.S. Public,,,,175,14400000,,,,,,No,No,No,,,2,2,3,20.75,,"MSDW(JB)/LEH(JB)//BEAR//ABN-AMRO-INC
/BRADFORD/CIBC-OPPEN/DRESDNER-KLEINW
/A-G-EDWARDS/GABELLI/ING-FURMAN
/JEFFERIES/ED-JONES/NATION-MONT-SEC
/NEUBERGER/SCOTT-STRING/SG-COWEN
/UTENDAHL-CAP//MSDW(GC)/LEH(GC)",MSDW/LEH,"MSDW
(JB)/LEH(JB)
BEAR","Morgan Stanley Dean Witter & Co
Lehman Brothers
Bear Stearns & Co Inc",86926,87311L10,TIME WARNER TELECOM INC,TWTC,5/12/99,20.75,TW TELECOM INC.,5/12/99,0,0,#DIV/0!

4/8/98,6/2/98,Balance Bar Co,5149,United States,BBAR,HAMBRECHT,0.735,7,25.2,10.5,Common Shares,Yes,57623100,Nasdaq,"Hambrecht & Quist
Adams Harkness & Hill Inc
BT Alex Brown Inc
Donaldson Lufkin & Jenrette
NationsBanc Montgomery Sec
Charles Schwab & Co Inc
First Southwest
Hanifen Imhoff & Samford
Piper Jaffray Inc
Raymond James & Associates Inc
Sutro & Co Inc
Wedbush, Noble, Cooke
Wit Capital Group Inc",1.429,1.762,3.80952,U.S. Public,,,,35.2,1003372,1396628,11/29/98 0:00,,180,,No,No,No,,,1,1,2,12.31,,"HAMBRECHT//ADAMS-HARKNESS
//BT-ALEX-BROWN/DLJ/NATION-MONT-SEC
/CHARLES-SCHWAB/FIRST-SW/HANIFEN
/PIPER-J/RAYMOND/SUTRO/WEDBUSH
/WIT-CAPITAL",HAMBRECHT,"HAMBRECHT
ADAMS-HARKNESS","Hambrecht & Quist Inc
Adams Harkness & Hill Inc",86149,5762310,BALANCE BAR COMPANY,BBAR,6/2/98,12.3125,BALANCE BAR CO,6/2/98,0,0,#DIV/0!

4/9/98,6/10/98,MasterGraphics Inc,7376,United States,MAGR,MORGAN-KEEGAN,0.7,7,36,10,Common Shares,Yes,576346100,Nasdaq,"Morgan Keegan Inc
SunTrust Equitable Securities
Advest Inc
Robert W Baird & Co Inc
JC Bradford & Co
Brean Murray & Co Inc
Crowell Weedon & Co
Dain Rauscher Corp
EVEREN Securities Inc
JJB Hilliard WL Lyons Inc
Interstate/Johnson Lane Inc
McDonald Investments
Ohio Co
Piper Jaffray Inc
Robinson-Humphrey Co
Seidler Corp
Stephens Inc
Sterne Agee & Leach Inc
Stifel Nicolaus & Co Inc
Wheat First Securities Inc",1.2,1.8,4,U.S. Public,13,11,3600000,43.2,3400000,200000,12/7/98 0:00,,180,,No,No,Yes,,,1,1,2,9.5,,"MORGAN-KEEGAN//SUNTRUST-EQUI//ADVEST
/BAIRD/BRADFORD/BREAN/CROWELL
/DAIN-RAUSCHER/EVEREN-SEC/HILLIARD
/INTER-JL/MCDONALD/OHIO/PIPER-J
/ROBINSON/SEIDLER-COS/STEPHENS
/STERNE-AGEE/STIFEL/WHEAT",MORGAN-KEEGAN,"MORGAN-KEEGAN
SUNTRUST-EQUI","Morgan Keegan Inc
SunTrust Equitable Securities",86179,57634610,MASTER GRAPHICS INC,MAGR,6/10/98,9.5,MASTER GRAPHICS INC,6/10/98,0,12,-0.166666667

4/9/98,6/10/98,Conrad Industries Inc,3731,United States,CNRD,MORGAN-KEEGAN,0.84,7,24,12,Common Shares,Yes,208305102,Pink Sheet,"Morgan Keegan Inc
Raymond James & Associates Inc
Advest Inc
Robert W Baird & Co Inc
JC Bradford & Co
Brean Murray & Co Inc
Crowell Weedon & Co
Dain Rauscher Corp
SunTrust Equitable Securities
EVEREN Securities Inc
Fahnestock & Co
Hanifen Imhoff & Samford
JJB Hilliard WL Lyons Inc
Interstate/Johnson Lane Inc
Jefferies & Co Inc
Johnson Rice & Co
McDonald Investments
Petrie Parkman & Co Inc
Robinson-Humphrey Co
Sanders & Beckingham
Southcoast Capital
Southwest Securities Group Inc
Stephens Inc
Stifel Nicolaus & Co Inc
Tucker Anthony Inc",1.25,1.917,3.83333,U.S. Public,17,15,2500000,40,2000000,,12/7/98 0:00,,180,5200000,No,No,No,,,1,1,2,11.88,,"MORGAN-KEEGAN//RAYMOND//ADVEST/BAIRD
/BRADFORD/BREAN/CROWELL/DAIN-RAUSCHER
/SUNTRUST-EQUI/EVEREN-SEC/FAHNESTOCK
/HANIFEN/HILLIARD/INTER-JL/JEFFERIES
/JOHNSON-RICE/MCDONALD/PETRIE-PARKMAN
/ROBINSON/SANDERS/SOUTHCOAST
/SOUTHWEST-SEC/STEPHENS/STIFEL/TUCKER",MORGAN-KEEGAN,"MORGAN-KEEGAN
RAYMOND","Morgan Keegan Inc
Raymond James & Associates Inc",86156,20830510,CONRAD INDUSTRIES INC,CNRD,6/10/98,11.875,CONRAD INDUSTRIES INC,6/10/98,0,16,-0.25

4/9/98,6/19/98,Cognizant Tech Solutions Corp,7371,United States,CTSH,BA-SEC-ROBERTS,0.7,7,29.2,10,Common Shares,Yes,192446102,Nasdaq,"BancAmerica Robertson Stephens
Cowen
Adams Harkness & Hill Inc
Furman Selz LLC
Hanifen Imhoff Inc
W. E. Kaufman
Laidlaw-Coggeshall
Pacific Crest Securities Inc
Punk Ziegel & Knoell",1.3,1.7,4,U.S. Public,13,11,2917000,35,2500000,417000,12/16/98 0:00,,180,,No,No,No,CZT,Cognizant Corp,1,1,3,10,,"BA-SEC-ROBERTS//COWEN/ADAMS-HARKNESS
//FURMAN-SELZ-INC/HANIFEN-IMHOFF
/KAUFMAN/LAIDLAW/PACIFIC-CREST
/PUNK-ZIEGEL",BA-SEC-ROBERTS,"BA-SEC-ROBERTS
COWEN
ADAMS-HARKNESS","BancAmerica Robertson Stephens Inc
Cowen & Co
Adams Harkness & Hill Inc",86158,19244610,COGNIZANT TECHNOLOGY SOLS CORP,CTSH,6/19/98,10,COGNIZANT TECHNOLOGY SOLUTIONS CORP,6/19/98,0,12,-0.166666667

4/9/98,6/24/98,SCC Communications Corp,7374,United States,SCCX,BA-SEC-ROBERTS,0.84,7,39.6,12,Common Shares,Yes,78388X105,Nasdaq,"BancAmerica Robertson Stephens
Hambrecht & Quist
Morgan Stanley Dean Witter
Cowen
Hanifen Imhoff Inc
Janco Partners",1.333,1.667,4,U.S. Public,15,13,3300000,46.2,2100000,1200000,12/21/98 0:00,,180,,No,No,Yes,,,1,1,2,13.63,,"BA-SEC-ROBERTS//HAMBRECHT//MSDW/COWEN
/HANIFEN-IMHOFF/JANCO-PARTNERS",BA-SEC-ROBERTS,"BA-SEC-ROBERTS
HAMBRECHT","BancAmerica Robertson Stephens Inc
